date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:03:42	662/662	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Aug%202023%2006:57:43%20GMT	https://www.topnotchdezigns.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://www.topnotchdezigns.com/)
03:03:42	89815/89815	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2020%20Apr%202023%2010:55:47%20GMT	https://www.topnotchdezigns.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.4	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-includes/js/jquery/jquery.min5aed.js	(from https://www.topnotchdezigns.com/)
03:03:42	13424/13424	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2020%20Apr%202023%2010:55:47%20GMT	https://www.topnotchdezigns.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from https://www.topnotchdezigns.com/)
03:03:42	21312/21312	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/plugins/rt-prettyphoto/js/jquery.prettyPhoto.js?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/plugins/rt-prettyphoto/js/jquery.prettyPhoto5c71.js	(from https://www.topnotchdezigns.com/)
03:03:43	81/81	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/plugins/rt-prettyphoto/js/wpp-active.js?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/plugins/rt-prettyphoto/js/wpp-active5c71.js	(from https://www.topnotchdezigns.com/)
03:03:43	1716/1716	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2006%20Jun%202018%2007:14:15%20GMT	https://www.topnotchdezigns.com/wp-content/plugins/featured-video-plus/js/jquery.fitvids.min.js?ver=master-2015-08	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/plugins/featured-video-plus/js/jquery.fitvids.minb2da.js	(from https://www.topnotchdezigns.com/)
03:03:43	2684/2684	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2006%20Jun%202018%2007:14:15%20GMT	https://www.topnotchdezigns.com/wp-content/plugins/featured-video-plus/js/frontend.min.js?ver=2.3.3	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/plugins/featured-video-plus/js/frontend.minb6db.js	(from https://www.topnotchdezigns.com/)
03:03:43	37/37	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202016%2016:37:23%20GMT	https://www.topnotchdezigns.com/wp-content/plugins/pc-google-analytics/assets/js/frontend.min.js?ver=1.0.0	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/plugins/pc-google-analytics/assets/js/frontend.min8a54.js	(from https://www.topnotchdezigns.com/)
03:03:44	50596/50596	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2011:02:16%20GMT	https://www.topnotchdezigns.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.js?ver=4.12.0	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.minb925.js	(from https://www.topnotchdezigns.com/)
03:03:44	70851/70851	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2011:02:20%20GMT	https://www.topnotchdezigns.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.js?ver=4.12.0	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.minb925.js	(from https://www.topnotchdezigns.com/)
03:03:46	2747/2747	---MCZ	200	added ('OK')	application/json	date:Mon,%2014%20Aug%202023%2000:03:46%20GMT	https://www.topnotchdezigns.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.topnotchdezigns.com%2F	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-json/oembed/1.0/embed5e8d.json	(from https://www.topnotchdezigns.com/)
03:03:47	2834/2834	---MCZ	200	added ('OK')	text/xml	date:Mon,%2014%20Aug%202023%2000:03:46%20GMT	https://www.topnotchdezigns.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.topnotchdezigns.com%2F&format=xml	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-json/oembed/1.0/embed2933	(from https://www.topnotchdezigns.com/)
03:03:48	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2014%20Aug%202023%2000:03:47%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.googletagmanager.com/gtm.1a5445.delayed	(from https://www.topnotchdezigns.com/)
03:03:48	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.google-analytics.com/analytics.js	(from https://www.topnotchdezigns.com/)
03:03:49	1890/1890	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/3466354.js?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/34663545c71.js	(from https://www.topnotchdezigns.com/)
03:03:50	296/296	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Aug%202023%2000:03:50%20GMT	http://www.topnotchdezigns.com/?wordfence_lh=1&hid=F56CA2160CE0094A3DC78ED1344B73D0	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/indexa504.html	(from https://www.topnotchdezigns.com/)
03:03:50	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Mon,%2014%20Aug%202023%2000:03:50%20GMT	https://www.topnotchdezigns.com/wp-admin/admin-ajax.php	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-admin/admin-ajax.php	(from https://www.topnotchdezigns.com/)
03:03:51	18204/18204	---MCZ	200	added ('OK')	text/xml	date:Mon,%2014%20Aug%202023%2000:03:51%20GMT	https://www.topnotchdezigns.com/rsslatest.xml	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/rsslatest.xml	(from https://www.topnotchdezigns.com/)
03:03:51	2104/2104	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:54:18%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/apple-icon-152x152.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/apple-icon-152x152.png	(from https://www.topnotchdezigns.com/)
03:03:51	5171/5171	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202023%2013:52:49%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/apple-icon-144x144.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/apple-icon-144x144.png	(from https://www.topnotchdezigns.com/)
03:03:51	4046/4046	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202023%2013:52:48%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/apple-icon-120x120.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/apple-icon-120x120.png	(from https://www.topnotchdezigns.com/)
03:03:52	3687/3687	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202023%2013:52:53%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/apple-icon-114x114.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/apple-icon-114x114.png	(from https://www.topnotchdezigns.com/)
